Story,Av_Score,Character Development,Emotional Flexibility,Language Proficiency & Literary Devices,Narrative Ending,Narrative Pacing,Originality in Form & Structure,Originality in Thought,Originality of Theme and Content,Perspective & Voice Flexibility,Rhetorical Complexity,Scene vs. Exposition,Structural Flexibility,Understandability & Coherence,World-Building and Setting
The Wicked Prince,2.93,0,0,3,3,2,0,1,1,0,2,1,1,3,1
Hermann the Irascible,3,0,1,3,3,3,2,3,3,1,3,1,3,3,1
The Little Match Girl,4.079655594,1,1,3,3,3,0,3,3,1,3,1,1,3,3
An Uncomfortable Bed,3.24,1,1,2,3,3,0,3,3,0,3,1,3,3,2
The Stranger,3.23,2,3,3,3,3,2,3,3,2,3,3,3,3,3
The Tale of Jemima Puddle-Duck,4.04,3,3,3,3,3,0,3,2,3,3,3,3,3,3
The Storm,3.68,3,3,3,3,3,1,3,3,3,3,3,3,3,3
The Veteran,3.31,3,3,3,3,3,3,3,3,3,3,3,3,3,3
The Lottery Ticket,3.84,3,3,3,3,3,2,3,3,3,3,3,3,3,3
The Island of the Fay,3.08,0,0,3,3,1,3,3,3,0,3,0,2,3,3
A Vine on a House,3.29,0,0,2,3,3,0,3,3,0,3,1,3,3,3
A Slander,3.66,3,3,3,3,3,1,3,3,3,3,3,3,3,3
The Night Came Slowly,3.3,1,0,3,1,3,1,2,2,0,3,0,0,3,2
The Mouse,3.77,3,2,3,3,3,2,3,3,3,3,3,3,3,3
The Ninth Skeleton,2.8,0,2,3,2,3,0,1,1,1,2,3,2,3,3
The Pedestrian,3.8,2,3,3,3,3,1,3,3,3,3,3,3,3,3
Eveline,3.56,3,3,3,3,3,3,3,3,1,3,1,3,3,3
A Haunted House,3.258796681,0,0,3,3,3,3,3,3,3,3,0,3,2,3
The Model Millionaire,3.73,2,2,3,3,3,1,3,3,2,3,2,3,3,2
The Open Window,3.980106686,2,2,3,3,3,1,3,2,2,3,3,3,3,2
If,4.391366907,0,1,3,3,3,1,3,2,0,3,0,0,3,0
Sredni Vashtar,3.86,3,2,3,3,3,1,3,3,2,3,3,3,3,3
The Steadfast Tin Soldier,4.007921493,1,1,3,3,3,0,3,3,1,3,2,3,3,3
The Haunted Mind,3.71,1,1,3,3,3,3,3,3,1,3,0,2,3,3
A Man with Two Lives,3.5,3,2,2,2,3,0,3,3,0,3,2,3,3,2
The Boarded Window,3.36,3,2,3,3,3,2,3,3,2,3,3,3,3,3
The Bowmen,2.82,1,3,3,3,3,2,2,2,3,3,3,2,3,3
The Student,3.33,3,3,3,3,3,1,3,3,3,3,3,3,3,3
Vanka,3.67,3,3,3,3,3,3,3,3,2,3,3,3,3,3
The Death of a Government Clerk,3.87027027,3,3,3,3,3,1,3,3,1,3,3,3,3,2
Three Questions,4.06,1,1,1,3,3,0,2,2,1,3,3,3,3,1
An Imperial Message,3.58,0,0,3,3,3,3,3,3,2,3,0,3,3,1
About Barbers,2.57,3,2,3,3,3,1,3,3,1,3,3,2,3,3
A Telephonic Conversation,2.85,0,1,3,2,3,3,3,3,1,3,3,1,3,1
The Tale of Peter Rabbit,4.169993465,1,1,2,2,3,0,2,1,0,1,3,0,3,3
A Pair of Silk Stockings,3.627464455,3,3,3,3,3,1,3,3,2,3,3,3,3,3
Annabel Lee,4.35,0,0,3,3,3,3,3,3,0,3,0,0,3,2
The Raven,4.280226007,3,2,3,3,3,3,3,3,0,3,3,2,3,3
The Oval Portrait,3.8,1,2,3,3,3,1,3,3,1,3,1,3,3,3
An Inquiry,3,2,2,3,3,3,1,3,2,2,3,3,3,3,3
Luck,3.22,1,1,3,3,3,1,3,3,1,3,1,2,3,2
The Blind Man,3.27,0,1,2,3,3,1,3,3,2,3,1,3,3,3
The Phoenix Bird,4.1,0,2,3,3,3,3,3,3,1,3,0,3,3,1
The Princess and the Pea,4.092678478,0,0,1,3,3,0,2,2,1,1,3,0,3,1
The Thing in the Moonlight,3.25,3,3,3,3,3,1,2,2,3,3,3,3,3,3
Rapunzel,3.69,0,1,1,3,2,0,0,1,1,1,1,0,3,1
Ibid,2.8,0,0,3,3,3,3,3,3,1,3,0,3,3,1
The Heavenly Christmas Tree,3.84,1,3,2,3,3,3,3,3,3,3,1,3,3,3
Ex Oblivione,3.19,1,1,3,3,3,0,3,3,0,3,0,3,3,3
Hills Like White Elephants,3.94,3,3,3,3,3,3,3,3,2,3,3,3,3,3
The Evil Clergyman,3.02,1,2,3,3,3,0,1,1,1,3,2,3,3,3
The Eyes Have It,3.559695652,1,1,3,3,3,3,3,3,1,3,1,3,3,1
The Descendant,2.67,1,1,3,0,2,0,1,1,1,3,1,2,3,3
The Sniper,3.66,3,3,3,3,3,0,3,2,1,3,3,3,3,3
Azathoth,3.15,1,1,3,3,3,2,2,3,0,3,0,1,3,3
Nyarlathotep,3.49,0,1,3,3,3,2,3,3,0,3,0,3,3,3
The Book,3.08,0,0,3,2,3,0,0,0,0,3,0,0,3,3
Memory,3.05,0,0,3,3,3,1,2,2,0,3,1,2,3,3
Polaris,3.32,1,1,3,3,2,2,3,3,0,3,1,3,3,3
What the Moon Brings,2.93,1,1,3,3,3,0,3,3,0,3,2,3,3,3
The Cat,3.29,2,2,3,3,2,0,3,3,1,3,1,0,3,3
A Clean Well Lighted Place,4.16,2,3,3,3,3,2,3,3,3,3,3,2,3,3
The Beautiful Suit,3.39,3,2,3,3,3,1,3,3,2,3,3,2,3,3
Rumpelstiltskin,3.64,0,1,1,3,3,0,0,0,0,1,2,2,3,1
The Pearl of Love,4.12,2,1,3,3,3,2,3,3,1,3,0,3,3,2
The Tree,2.98,1,1,3,3,3,0,3,3,1,3,1,2,3,3
The Man From Snowy River,4.03,1,1,3,3,3,0,2,2,1,1,3,1,3,3
The Cats of Ulthar,3.74,0,1,3,3,2,0,3,3,0,3,0,0,3,3
The Terrible Old Man,3.35,0,1,3,3,3,0,3,2,2,3,2,3,3,3
The Child’s Story,3.88,0,1,3,3,3,0,3,3,1,3,1,3,3,3
A Dead Woman's Secret,2.8,3,3,3,3,3,2,3,3,3,3,3,3,3,2
Clancy of the Overflow,4.13,1,3,3,3,3,0,2,1,1,3,2,2,3,3
A Diagnosis of Death,3.21,2,2,2,3,3,1,3,3,2,3,2,3,3,2
The Leopard Man’s Story,3.396875,3,2,3,3,3,2,3,3,2,3,2,3,3,3
The Boar-Pig,3.63,2,2,3,3,3,1,3,3,2,3,3,3,3,3
The Last Incantation,3.97,3,2,3,3,3,0,3,3,1,3,2,2,3,3
The Doer of Good,3.85,0,1,3,3,3,3,3,3,1,3,3,2,3,1
A Strange Story,3.03,0,0,2,3,3,0,3,3,0,0,1,3,3,0
"Filboid Studge, The Story of a Mouse that Helped",3.65,1,1,3,3,3,1,3,3,2,3,2,2,3,1
The Emperor’s New Clothes,3.94,1,2,2,3,3,0,3,3,2,3,3,2,3,1
The Frog-Prince,3.22,2,2,1,3,3,0,0,0,1,1,3,1,3,1
In the Forest of Villefère,3.13,2,2,2,2,3,0,2,1,1,1,3,2,3,1
A Vision of Judgment,3.15,3,3,3,3,3,2,3,3,2,3,3,3,3,3
"Work, Death and Sickness",3.4,0,0,1,3,2,0,2,1,0,1,0,1,3,0
The Story-Teller,3.71,2,3,3,3,3,2,3,3,3,3,3,3,3,3
A Child’s Dream of a Star,3.48,0,1,3,3,3,0,1,1,0,3,1,0,3,1
How The Camel Got His Hump,3.94,1,2,3,3,3,1,3,2,1,3,3,2,3,3
Magnetism,3.29,2,3,3,3,3,1,2,2,2,3,2,2,3,1
The Shirt-Collar,2.84,0,1,2,3,3,3,3,3,2,3,3,3,3,1
A Vendetta,3.7,3,2,2,3,3,0,3,3,1,3,3,3,3,3
A Mother of Monsters,3.81,2,3,2,3,3,2,3,3,1,3,1,3,3,2
The History of the Necronomicon,3.51,0,0,2,0,0,3,3,3,0,3,0,0,3,3
The Pendulum,3.93,2,1,1,3,3,0,3,3,0,2,1,2,3,1
A Chameleon,3.94,2,2,3,3,3,2,3,3,2,3,3,3,3,2
Mrs. Packletide’s Tiger,3.31,1,2,3,3,3,1,3,3,3,3,3,3,3,2
The Triumphs of a Taxidermist,3.05,3,1,3,3,3,0,3,3,2,3,1,1,3,3
The Story Of The Three Bears,3.91,0,0,1,2,3,0,0,0,0,0,1,0,3,1
A Deal In Ostriches,3,1,1,2,3,3,0,3,3,0,2,1,3,3,2
An Extinct Angel,3.65,0,0,3,3,2,2,3,3,0,3,0,0,3,0
